id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,logprice,neighbourhood_group_Brooklyn,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Bronx,room_type_Private room,room_type_Shared room
825545,Clean cozy room central historic gay best area,872805,Mike,40.73336,-73.99836,120,21,80,7/7/19,1.04,2,63,4.787491743,0,0,0,0,1,0
826307,"Near Manhatten, NEW Empire Outlets, park!",4192794,Anna,40.63132,-74.08799,47,1,20,11/6/16,0.26,1,290,3.850147602,0,0,1,0,1,0
826603,No Longer Available Brooklyn Brownstone,4079140,Kat,40.67828,-73.95646,100,2,37,11/10/15,0.51,1,5,4.605170186,1,0,0,0,1,0
826685,Dreamy Private Room in  Super Cool Bedstuy Apt.,94669,Keithan,40.68407,-73.93944,51,3,39,7/14/19,3.05,2,41,3.931825633,1,0,0,0,1,0
826764,Spacious Sunny Union Sq Room,4336760,Marie,40.73588,-73.99224,65,90,2,6/2/19,0.06,1,261,4.17438727,0,0,0,0,1,0
827719,Experience Brooklyn like a True Brooklynite,611137,Shahar,40.68334,-73.96704,60,3,128,7/14/19,3.55,2,124,4.094344562,1,0,0,0,1,0
828130,Brooklyn Apt next to Prospect Park,4210082,Monica,40.66229,-73.96296,70,1,84,10/8/16,1.05,1,217,4.248495242,1,0,0,0,1,0
828553,Location AND Space in the city!!,3882661,Ms,40.7349,-73.98549,130,3,26,6/23/19,0.4,2,55,4.86753445,0,0,0,0,0,0
828685,Cute Room in Artist/Designers' Flat,1865527,Kayla,40.6938,-73.94698,70,1,37,6/10/19,0.48,3,335,4.248495242,1,0,0,0,1,0
828796,Large 2BR Apt in Brownstone,4344588,Gabe And Jane,40.68673,-73.96252,200,2,270,7/10/19,3.37,1,274,5.298317367,1,0,0,0,0,0
830840,Private Bedroom in a Studio,4350748,Anna,40.62908,-73.95965,68,7,1,12/12/12,0.01,1,87,4.219507705,1,0,0,0,1,0
830949,DESIGNER LOFT W PRIVATE ROOFTOP & PANORAMIC VIEWS,4352069,Rebecca,40.72632,-73.97907,79,2,139,7/20/19,1.98,2,173,4.369447852,0,0,0,0,1,0
833519,Large Bedroom for 2 brickwall,4112404,Vero,40.85123,-73.93223,40,15,4,1/1/19,0.05,3,365,3.688879454,0,0,0,0,1,0
834088,Charming Private room in Greenpoint,4363775,O.,40.73184,-73.95802,55,15,11,8/31/18,0.22,3,23,4.007333185,1,0,0,0,1,0
834190,Manhattan Lux Loft.Like.Love.Lots.Look !,2369681,Carol,40.71921,-73.99116,99,2,546,8/2/19,6.94,1,201,4.59511985,0,0,0,0,1,0
